Player,Role,Team,Opponent_Team,Opponent_Player,Date,Week,Day,Patch,Stage,No_Game,all_Games,Format,Game_of_day,Side,Time,Ban,Ban_Opponent,Pick,Pick_Opponent,Champion,Champion_Opponent,Outcome,Kills_Team,Turrets_Team,Dragon_Team,Baron_Team,Level,Kills,Deaths,Assists,KDA,CS,CS_in_Teams_Jungle,CS_in_Enemy_Jungle,CSM,Golds,GPM,GOLD%,Vision_Score,Wards_placed,Wards_destroyed,Control_Wards_Purchased,Detector_Wards_Placed,VSPM,WPM,VWPM,WCPM,VS%,Total_damage_to_Champion,Physical_Damage,Magic_Damage,True_Damage,DPM,DMG%,K+A_Per_Minute,KP%,Solo_kills,Double_kills,Triple_kills,Quadra_kills,Penta_kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives_Stolen,Damage_dealt_to_turrets,Damage_dealt_to buildings,Total_heal,Total_Heals_On_Teammates,Damage_self_mitigated,Total_Damage_Shielded_On_Teammates,Time_ccing_others,Total_Time_CC_Dealt,Total_damage_taken,Total_Time_Spent_Dead,Consumables_purchased,Items_Purchased,Shutdown_bounty_collected,Shutdown_bounty_lost
Photon,TOP,VIT,TH,Wunder,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Blue,0:36:02,Orianna,Jayce,Smolder,Varus,Twisted_Fate,Wukong,Win,17,10,2,1,17,1,2,11,6,291,24,0,8.1,15886,441,23.4,38,19,8,6,6,1.05,0.53,0.17,0.22,12.9,23469,10663,12138,668,651,23.1,0.33,70.6,0,0,0,0,0,644,14,201,0,0,9051,9051,7414,0,15903,0,36,295,20046,75,8,25,0,100
Daglas,JUNGLE,VIT,TH,Jankos,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Blue,0:36:02,Ashe,Senna,Taliyah,Nautilus,Rell,Sejuani,Win,17,10,2,1,15,1,6,14,2.5,150,138,0,4.2,10446,290,15.4,51,14,10,13,12,1.42,0.39,0.36,0.28,17.3,6356,1011,5042,303,176,6.3,0.42,88.2,0,0,0,0,0,-1072,-19,-788,-1,0,2575,2575,12734,668,40803,0,29,327,31779,100,14,31,0,0
Vetheo,MID,VIT,TH,Zwyroo,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Blue,0:36:02,Vi,Rumble,Braum,Karma,Taliyah,Karma,Win,17,10,2,1,18,5,0,8,Perfect_KDA,298,25,0,8.3,14321,397,21.1,44,17,9,8,8,1.22,0.47,0.22,0.25,14.9,19693,509,18692,492,547,19.4,0.36,76.5,0,0,0,0,0,327,-2,-292,0,0,5303,5303,4679,781,10554,0,28,510,14830,0,11,27,150,0
Carzzy,ADCARRY,VIT,TH,Flakked,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Blue,0:36:02,Xin_Zhao,Renekton,Rell,Sejuani,Smolder,Varus,Win,17,10,2,1,18,10,0,6,Perfect_KDA,393,29,0,10.9,18568,515,27.4,57,14,20,3,3,1.58,0.39,0.08,0.56,19.3,47055,28232,8468,10355,1306,46.3,0.44,94.1,0,1,0,0,0,314,9,545,1,0,3728,3728,12308,0,11090,0,17,414,20522,0,7,26,300,0
Hylissang,SUPPORT,VIT,TH,Trymbi,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Blue,0:36:02,Gragas,Maokai,Twisted_Fate,Wukong,Braum,Nautilus,Win,17,10,2,1,13,0,5,15,3,27,0,0,0.7,8539,237,12.6,105,53,12,11,10,2.91,1.47,0.31,0.33,35.6,4985,576,3490,919,138,4.9,0.42,88.2,0,0,0,0,0,-448,-9,-268,0,0,111,111,3559,489,28323,2700,34,139,26062,114,13,30,0,0
Wunder,TOP,TH,VIT,Photon,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Red,0:36:02,Jayce,Orianna,Varus,Smolder,Wukong,Twisted_Fate,Loss,12,2,3,1,16,2,4,7,2.3,261,4,0,7.2,12267,340,20.9,30,9,7,2,2,0.83,0.25,0.06,0.19,9.4,14793,12441,1585,767,411,18.6,0.25,75,0,0,0,0,0,-644,-14,-201,0,0,810,810,3501,0,25000,0,22,118,31196,143,3,24,0,0
Jankos,JUNGLE,TH,VIT,Daglas,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Red,0:36:02,Senna,Ashe,Nautilus,Taliyah,Sejuani,Rell,Loss,12,2,3,1,15,2,2,9,5.5,211,166,0,5.9,11349,315,19.3,76,13,23,11,11,2.11,0.36,0.31,0.64,23.9,7607,3655,3475,477,211,9.6,0.31,91.7,0,0,0,0,0,1072,19,788,1,0,0,0,21508,836,51070,782,22,469,43118,16,12,33,0,150
Zwyroo,MID,TH,VIT,Vetheo,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Red,0:36:02,Rumble,Vi,Karma,Braum,Karma,Taliyah,Loss,12,2,3,1,17,1,3,6,2.3,277,4,0,7.7,12584,349,21.4,49,18,9,8,8,1.36,0.5,0.22,0.25,15.4,22195,313,21477,405,616,27,0.19,58.3,0,0,0,0,0,-327,2,292,0,0,1859,1859,2608,0,17107,1728,20,466,18195,92,10,28,50,0
Flakked,ADCARRY,TH,VIT,Carzzy,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Red,0:36:02,Renekton,Xin_Zhao,Sejuani,Rell,Varus,Smolder,Loss,12,2,3,1,16,5,1,1,6,316,9,0,8.8,14047,390,23.9,54,27,11,3,3,1.5,0.75,0.08,0.31,17,27838,23929,3317,592,773,35,0.17,50,0,0,0,0,0,-314,-9,-545,-1,0,0,0,3543,0,8461,0,42,471,16065,55,4,28,0,300
Trymbi,SUPPORT,TH,VIT,Hylissang,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,1,Red,0:36:02,Maokai,Gragas,Wukong,Twisted_Fate,Nautilus,Braum,Loss,12,2,3,1,12,2,7,7,1.3,32,0,0,0.9,8479,235,14.4,109,55,12,12,10,3.02,1.53,0.33,0.33,34.3,7087,1343,4717,1027,197,8.9,0.25,75,1,0,0,0,0,448,9,268,0,0,0,0,848,267,38915,1099,52,200,22484,201,14,33,50,0
